Categoria,Descrizione,Quantità,Costo unitario (IVA incl),Costo complessivo
Dotazione tecnologica,Raspberry Pi 4 Desktop Kit 8GB (Tastiera Italiana),30,"€ 199,90","€ 5.997,00"
Dotazione tecnologica,Lenovo ThinkVision T22v-20 - Monitor,30,"€ 222,04","€ 6.661,20"
Dotazione tecnologica,Inventor's Kit per BBC micro:bit,30,"€ 33,80","€ 1.014,00"
Dotazione tecnologica,D-Link GO-SW-8G - Switch,6,"€ 26,96","€ 161,76"
Dotazione tecnologica,Cavo di rete Patch in Rame Cat. 6A Grigio UTP 2 mt,30,"€ 5,51","€ 165,30"
Dotazione tecnologica,"NAS: Synology DS220+ 4TB 2 Bay Desktop NAS Solution da 2 TB",1,"€ 555,88","€ 555,88"
Dotazione tecnologica,Terminal Server: Lenovo ThinkStation P360,1,"€ 5.797,53","€ 5.797,53"
Arredo,Scrivania Practika P3,6,"€ 339,16","€ 2.034,96"
Arredo,Multipresa da scrivania bticino S3711GBU,30,"€ 42,48","€ 1.274,41"
,,,,
**Totale dotazione tecn.**,,,,"€ 20.352,67"
**Totale arredo**,,,,"€ 3.309,37"
Stima piccole opere e altro materiale,,,,"€ 2.000,00"
**Totale**,,,,"€ 25.662,04"
